codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201405319505743,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SCHROEDER,SC,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,POUSO,VOO EXPERIMENTAL,NaN,0,2014-05-31 17:46:00
200802118201345,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,SANTO ÂNGELO,RS,SBNM,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,DESCIDA,VOO REGULAR,NaN,5,2008-02-11 15:05:00
201006271320921,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,SANTO ÂNGELO,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,8,2010-06-27 17:45:00
201102031551598,INCIDENTE,PERDA DE CONTROLE NO SOLO,SANTO ÂNGELO,RS,SBNM,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,0,2011-02-03 14:36:00
201110027099855,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,SANTO ÂNGELO,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,DECOLAGEM,VOO DE INSTRUÇÃO,NaN,0,2011-10-02 13:30:00
201211052161695,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,SANTO ÂNGELO,RS,SBNM,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,0,2012-11-05 20:40:00
201401098353073,ACIDENTE,PERDA DE CONTROLE NO SOLO,SANTO ÂNGELO,RS,SBNM,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,DECOLAGEM,VOO DE INSTRUÇÃO,NaN,5,2014-01-09 18:45:00
201403036954203,INCIDENTE GRAVE,OUTROS,SANTO ÂNGELO,RS,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,1,2014-03-03 13:35:00
201005092355347,INCIDENTE GRAVE,COM TREM DE POUSO,PALMAS,PR,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,2,2010-05-09 18:50:00
201208218453305,ACIDENTE,PERDA DE CONTROLE EM VOO,PALMEIRA,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,MANOBRA,VOO DE INSTRUÇÃO,1.0,11,2012-08-21 20:15:00
201512157077588,ACIDENTE,FALHA DO MOTOR EM VOO,PALOTINA,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,VOO PRIVADO,NaN,0,2015-12-15 20:30:00
201010012544141,ACIDENTE,FALHA DO MOTOR EM VOO,SÃO BORJA,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,OUTRA FASE,OPERAÇÃO ESPECIALIZADA,NaN,1,2010-10-01 11:30:00
201112209927186,ACIDENTE,PERDA DE CONTROLE EM VOO,SÃO BORJA,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,2,2011-12-20 18:00:00
201412181943571,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SÃO BORJA,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,3,2014-12-18 22:30:00
201209284218441,ACIDENTE,POUSO BRUSCO,SÃO BORJA,RS,SSSB,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,0,2012-09-28 21:38:00
200910195921416,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,SÃO BORJA,RS,SSSB,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,4,2009-10-19 21:00:00
201501193657080,ACIDENTE,PERDA DE CONTROLE NO SOLO,SÃO BORJA,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,1,2015-01-19 12:15:00
200912297155678,ACIDENTE,PERDA DE CONTROLE EM VOO,SÃO FRANCISCO DE ASSIS,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,POUSO,OPERAÇÃO ESPECIALIZADA,1.0,6,2009-12-29 10:30:00
201312292652250,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PARANAGUÁ,PR,SSPG,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,ADMINISTRAÇÃO DIRETA,APROXIMAÇÃO FINAL,OPERAÇÃO POLICIAL,NaN,0,2013-12-29 20:45:00
200802085569734,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,SÃO GABRIEL,RS,SSSG,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,SUBIDA,OPERAÇÃO AGRÍCOLA,NaN,0,2008-02-08 11:50:00
200811027582478,ACIDENTE,PANE SECA,PARANAVAÍ,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,OUTRA FASE,VOO PRIVADO,5.0,3,2008-11-02 12:48:00
201705120124039,ACIDENTE,PERDA DE CONTROLE NO SOLO,PARANAVAÍ,PR,SSPI,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,CORRIDA APÓS POUSO,OPERAÇÃO AGRÍCOLA,NaN,1,2017-05-09 20:35:00
201402038286995,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SÃO JOÃO DO POLÊSINE,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2014-02-03 22:25:00
201612061531054,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,PATO BRANCO,PR,SSPB,AVIÃO,PISTÃO,1.0,BRASIL,ADMINISTRAÇÃO DIRETA,TÁXI,OPERAÇÃO POLICIAL,NaN,0,2016-12-04 18:23:00
201507305685644,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SÃO JOSÉ DOS AUSENTES,RS,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,PARTICULAR,RETA FINAL,VOO PRIVADO,NaN,0,2015-07-30 15:07:00
201801131325072,ACIDENTE,EXCURSÃO DE PISTA,SÃO LOURENÇO DO SUL,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,0,2018-01-10 12:00:00
201409218952332,ACIDENTE,PERDA DE COMPONENTE EM VOO,PINHÃO,PR,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CRUZEIRO,VOO EXPERIMENTAL,NaN,0,2014-09-21 19:00:00
201504053187404,INCIDENTE GRAVE,OUTROS,PIRAÍ DO SUL,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2015-04-05 21:00:00
201309012573241,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,PIRAÍ DO SUL,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,MANOBRA,VOO DE INSTRUÇÃO,NaN,0,2013-09-01 18:30:00
201602221605374,ACIDENTE,FALHA DO MOTOR EM VOO,SÃO PEDRO DO SUL,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,EXPERIMENTAL,CRUZEIRO,VOO PRIVADO,NaN,0,2016-01-28 21:00:00
201001101030729,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SÃO PEDRO DO SUL,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,CHEQUE DE MOTOR OU ROTOR,OPERAÇÃO ESPECIALIZADA,NaN,0,2010-01-10 21:30:00
201602221628141,ACIDENTE,FALHA DO MOTOR EM VOO,PIRAQUARA,PR,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO PRIVADO,NaN,0,2016-02-01 19:20:00
201604271727031,ACIDENTE,PERDA DE CONTROLE EM VOO,PIRAQUARA,PR,SISY,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,ADMINISTRAÇÃO DIRETA,DECOLAGEM VERTICAL,OPERAÇÃO POLICIAL,NaN,0,2016-04-25 13:58:00
201107202747106,ACIDENTE,OUTROS,PIRAQUARA,PR,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO EXPERIMENTAL,NaN,0,2011-07-20 19:30:00
201208084226418,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,SÃO SEPÉ,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,2,2012-08-08 20:00:00
201201066427747,ACIDENTE,PERDA DE CONTROLE NO SOLO,SÃO SEPÉ,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,ESPECIALIZADA,POUSO,OPERAÇÃO AGRÍCOLA,NaN,0,2012-01-06 16:30:00
200802069292887,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,SÃO SEPÉ,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,1.0,0,2008-02-06 20:45:00
