codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201608052035104,ACIDENTE,COM TREM DE POUSO,LÁBREA,AM,SWLB,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CORRIDA APÓS POUSO,VOO PRIVADO,NaN,4,2016-08-03 19:40:00
200902079713655,ACIDENTE,FALHA DO MOTOR EM VOO,MANACAPURU,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,24.0,17,2009-02-07 17:30:00
201403103365140,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,CHAVES,PA,SNXW,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,NaN,5,2014-03-10 17:30:00
201204215811373,INCIDENTE,OUTROS,CHAVES,PA,NaN,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,NaN,0,2012-04-21 12:45:00
201503041051958,ACIDENTE,PERDA DE CONTROLE NO SOLO,CHAVES,PA,SNXW,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,NaN,0,2015-03-04 13:30:00
200810145867995,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,CHAVES,PA,SNXW,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,3,2008-10-14 10:22:00
201406294726451,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,MANAQUIRI,AM,NaN,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2014-06-29 20:40:00
201212027518733,INCIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,MANAUS,AM,SBEG,AVIÃO,JATO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2012-12-02 15:00:00
201005071434215,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2010-05-07 10:28:00
201303113050125,ACIDENTE,FALHA DO MOTOR EM VOO,MANAUS,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,NaN,POUSO,VOO PRIVADO,NaN,0,2013-03-12 00:27:00
201312028994752,INCIDENTE,OUTROS,MANAUS,AM,SBEG,AVIÃO,JATO,2.0,BRASIL,REGULAR,TÁXI,VOO REGULAR,NaN,0,2013-12-02 11:17:00
201401183901627,ACIDENTE,POUSO SEM TREM,MANAUS,AM,SWFN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,1,2014-01-18 19:50:00
201206227951836,INCIDENTE,F.O.D.,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,NaN,0,2012-06-22 14:30:00
