codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201602121352419,ACIDENTE,FALHA DO MOTOR EM VOO,NOVA UBIRATÃ,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2016-01-23 20:15:00
201803221804464,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,NOVA XAVANTINA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2017-11-15 12:30:00
201006151078275,INCIDENTE GRAVE,POUSO SEM TREM,NOVA XAVANTINA,MT,SWXV,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NaN,3,2010-06-15 20:45:00
201608050859128,INCIDENTE,COM TREM DE POUSO,NOVO SÃO JOAQUIM,MT,SDZX,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NaN,0,2016-07-24 09:00:00
201608050829369,INCIDENTE,POUSO BRUSCO,NOVO SÃO JOAQUIM,MT,NaN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,NaN,0,2016-07-25 15:00:00
201602130015169,ACIDENTE,PERDA DE CONTROLE EM VOO,PARANATINGA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,MANOBRA,OPERAÇÃO AGRÍCOLA,1.0,0,2016-02-08 19:30:00
201511133433001,ACIDENTE,OUTROS,PARANATINGA,MT,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,INDETERMINADA,VOO PRIVADO,1.0,0,2015-11-13 14:00:00
201103078639006,ACIDENTE,DESORIENTAÇÃO ESPACIAL,PARANATINGA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,1.0,0,2011-03-07 11:50:00
201303139454448,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PEDRA PRETA,MT,NaN,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2013-03-13 12:00:00
201404274903085,ACIDENTE,PERDA DE CONTROLE EM VOO,PEDRA PRETA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,8,2014-04-27 20:00:00
201604251353436,ACIDENTE,FALHA DO MOTOR EM VOO,PEDRA PRETA,MT,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2016-04-13 21:00:00
201704171629243,ACIDENTE,FALHA DO MOTOR EM VOO,PEDRA PRETA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2017-04-11 10:30:00
201511275450620,ACIDENTE,FALHA DO MOTOR EM VOO,PLANALTO DA SERRA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2015-11-27 16:00:00
200902155605475,ACIDENTE,PERDA DE CONTROLE NO SOLO,POCONÉ,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,2,2009-02-15 13:30:00
201212075869641,ACIDENTE,PERDA DE CONTROLE NO SOLO,POCONÉ,MT,NaN,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2012-12-07 20:00:00
200911231532770,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,POCONÉ,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,3,2009-11-23 13:40:00
201710251153192,ACIDENTE,PERDA DE CONTROLE NO SOLO,PONTA PORÃ,MS,SWGC,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,DECOLAGEM,VOO PRIVADO,NaN,0,2017-10-20 17:45:00
200901124394928,INCIDENTE GRAVE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,PONTA PORÃ,MS,NaN,AVIÃO,NaN,0.0,BRASIL,NaN,CRUZEIRO,NaN,NaN,0,2009-01-12 14:37:00
201304145206964,INCIDENTE,ESTOURO DE PNEU,PONTA PORÃ,MS,SBPP,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,DECOLAGEM,VOO DE INSTRUÇÃO,NaN,0,2013-04-14 14:20:00
201301073246697,INCIDENTE,ESTOURO DE PNEU,PONTA PORÃ,MS,SBPP,AVIÃO,PISTÃO,2.0,BRASIL,NaN,POUSO,NaN,NaN,0,2013-01-07 16:33:00
201001235077117,ACIDENTE,PERDA DE CONTROLE EM VOO,PONTES E LACERDA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,1.0,3,2010-01-23 13:00:00
201301238458058,ACIDENTE,FALHA DO MOTOR EM VOO,PONTES E LACERDA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2013-01-23 21:50:00
201704101410474,ACIDENTE,FALHA DO MOTOR EM VOO,PORTO ALEGRE DO NORTE,MT,SWPQ,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,NaN,0,2017-03-13 17:30:00
201011084759398,ACIDENTE,FALHA DO MOTOR EM VOO,PORTO MURTINHO,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,NaN,DESCIDA,NaN,NaN,0,2010-11-08 18:25:00
201605161435565,ACIDENTE,OUTROS,PORTO MURTINHO,MS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,NaN,POUSO,VOO PRIVADO,NaN,0,2016-04-18 14:30:00
201605251652369,ACIDENTE,PERDA DE CONTROLE NO SOLO,PORTO MURTINHO,MS,SDWU,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,0,2016-02-20 14:20:00
201702231657376,ACIDENTE,FALHA DO MOTOR EM VOO,POXORÉO,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,0,2017-02-18 16:00:00
200804012053016,ACIDENTE,FALHA DO MOTOR EM VOO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,NaN,0,2008-04-01 07:45:00
201001119809839,ACIDENTE,FALHA DO MOTOR EM VOO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,OUTRA FASE,OPERAÇÃO AGRÍCOLA,NaN,2,2010-01-11 17:00:00
201412294405009,ACIDENTE,PERDA DE CONTROLE EM VOO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,5,2014-12-29 13:00:00
201312134791322,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,2,2013-12-13 12:00:00
201306077313003,ACIDENTE,PERDA DE CONTROLE NO SOLO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,TURBOÉLICE,1.0,BRASIL,AGRÍCOLA,DECOLAGEM,OPERAÇÃO AGRÍCOLA,NaN,7,2013-06-07 10:15:00
201612152058413,ACIDENTE,PERDA DE CONTROLE EM VOO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,1.0,0,2016-12-13 19:30:00
201805021255137,ACIDENTE,PERDA DE CONTROLE EM VOO,PRIMAVERA DO LESTE,MT,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,DECOLAGEM,VOO PRIVADO,2.0,0,2018-04-28 19:40:00
201602151514456,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,TURBOÉLICE,1.0,BRASIL,PARTICULAR,POUSO,OPERAÇÃO AGRÍCOLA,NaN,0,2016-02-10 11:00:00
200803234579474,ACIDENTE,FALHA DO MOTOR EM VOO,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,NAVEGAÇÃO A BAIXA ALTURA,OPERAÇÃO AGRÍCOLA,NaN,4,2008-03-23 20:30:00
201401075928324,ACIDENTE,PANE SECA,PRIMAVERA DO LESTE,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CIRCUITO DE TRÁFEGO,VOO PRIVADO,NaN,2,2014-01-07 20:59:00
201212079616949,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PRIMAVERA DO LESTE,MT,SWPY,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,NaN,6,2012-12-07 14:30:00
201302043438708,ACIDENTE,PERDA DE CONTROLE NO SOLO,QUERÊNCIA,MT,NaN,AVIÃO,PISTÃO,1.0,BRASIL,TÁXI AÉREO,DECOLAGEM,TÁXI AÉREO,NaN,4,2013-02-04 12:20:00
